
2025/01/02 (14:23:39) | DEBUG: no intel sensors found
2025/01/02 (14:23:39) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/03 (23:33:43) | INFO: Quitting! Runtime: 1d 09:10:04

2025/01/04 (02:33:12) | ===> btop++ v.1.4.0
2025/01/04 (02:33:12) | INFO: Logger set to DEBUG
2025/01/04 (02:33:12) | DEBUG: Using locale en_US.UTF-8
2025/01/04 (02:33:12) | INFO: Running on /dev/ttys002
2025/01/04 (02:33:12) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/01/04 (02:33:12) | DEBUG: checking intel
2025/01/04 (02:33:12) | DEBUG: no intel sensors found
2025/01/04 (02:33:12) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/04 (02:36:17) | INFO: Quitting! Runtime: 00:03:05

2025/01/04 (02:42:15) | ===> btop++ v.1.4.0
2025/01/04 (02:42:15) | INFO: Logger set to DEBUG
2025/01/04 (02:42:15) | DEBUG: Using locale en_US.UTF-8
2025/01/04 (02:42:15) | INFO: Running on /dev/ttys002
2025/01/04 (02:42:15) | DEBUG: get_sensors(): show_coretemp=1 check_temp=1
2025/01/04 (02:42:15) | DEBUG: checking intel
2025/01/04 (02:42:15) | DEBUG: no intel sensors found
2025/01/04 (02:42:15) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:29) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/paper.theme
2025/01/05 (23:40:30) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:31) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/paper.theme
2025/01/05 (23:40:32) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:32) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2025/01/05 (23:40:33) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:40:34) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
